LEXEME               SPELLING            
                                         
PROGRAM              program             
ID                   example             
LAPREN               (                   
ID                   input               
COMMA                ,                   
ID                   output              
RPAREN               )                   
SEMICOLON            ;                   
VAR                  var                 
ID                   x                   
COMMA                ,                   
ID                   y                   
COLON                :                   
INTTYPE              integer             
SEMICOLON            ;                   
ID                   n                   
COLON                :                   
ARRAY                array               
LSQBRACKET           [                   
INTLIT               1                   
RANGE                ..                  
INTLIT               20                  
RSQBRACKET           ]                   
OF                   of                  
INTTYPE              integer             
SEMICOLON            ;                   
ID                   hi                  
ASSIGN               :=                  
STRLIT               'Hello, World!'     
COLON                :                   
STRTYPE              string              
SEMICOLON            ;                   
ID                   q                   
ASSIGN               :=                  
CHRLIT               'q'                 
COLON                :                   
CHRTYPE              char                
SEMICOLON            ;                   
ID                   result              
ASSIGN               :=                  
BOOLLIT              true                
COLON                :                   
BOOLTYPE             boolean             
SEMICOLON            ;                   
ID                   antiresult          
ASSIGN               :=                  
BOOLLIT              false               
COLON                :                   
BOOLTYPE             boolean             
SEMICOLON            ;                   
ID                   pi                  
ASSIGN               :=                  
REALLIT              3.14159             
COLON                :                   
REALTYPE             real                
SEMICOLON            ;                   
ID                   arrayOfChars        
COLON                :                   
ARRAY                array               
LSQBRACKET           [                   
INTLIT               1                   
RANGE                ..                  
INTLIT               5                   
RSQBRACKET           ]                   
OF                   of                  
CHRTYPE              char                
SEMICOLON            ;                   
FUNCTION             function            
ID                   gcd                 
LAPREN               (                   
ID                   a                   
COMMA                ,                   
ID                   b                   
COLON                :                   
INTTYPE              integer             
RPAREN               )                   
COLON                :                   
INTTYPE              integer             
SEMICOLON            ;                   
BEGIN                begin               
WHILE                while               
ID                   b                   
LT                   <                   
INTLIT               10                  
DO                   do                  
BEGIN                begin               
IF                   if                  
LAPREN               (                   
ID                   a                   
GT                   >                   
INTLIT               0                   
RPAREN               )                   
THEN                 then                
ID                   a                   
ASSIGN               :=                  
ID                   a                   
PLUS                 +                   
INTLIT               1                   
SEMICOLON            ;                   
IF                   if                  
LAPREN               (                   
ID                   b                   
NE                   <>                  
MINUS                -                   
INTLIT               1                   
RPAREN               )                   
THEN                 then                
ID                   b                   
ASSIGN               :=                  
ID                   a                   
MULT                 *                   
INTLIT               2                   
SEMICOLON            ;                   
IF                   if                  
LAPREN               (                   
ID                   c                   
GTE                  >=                  
INTLIT               0                   
RPAREN               )                   
THEN                 then                
ID                   c                   
ASSIGN               :=                  
ID                   b                   
MINUS                -                   
ID                   a                   
SEMICOLON            ;                   
IF                   if                  
LAPREN               (                   
ID                   d                   
LTE                  <=                  
INTLIT               1000                
RPAREN               )                   
THEN                 then                
ID                   d                   
ASSIGN               :=                  
ID                   a                   
DIVIDE               /                   
ID                   c                   
MOD                  mod                 
INTLIT               2                   
SEMICOLON            ;                   
ELSE                 else                
ID                   e                   
ASSIGN               :=                  
MINUS                -                   
INTLIT               200                 
SEMICOLON            ;                   
END                  end                 
SEMICOLON            ;                   
END                  end                 
SEMICOLON            ;                   
BEGIN                begin               
ID                   read                
LAPREN               (                   
ID                   x                   
COMMA                ,                   
ID                   y                   
RPAREN               )                   
SEMICOLON            ;                   
ID                   write               
LAPREN               (                   
ID                   gcd                 
LAPREN               (                   
ID                   x                   
COMMA                ,                   
ID                   y                   
RPAREN               )                   
RPAREN               )                   
SEMICOLON            ;                   
ID                   write               
LAPREN               (                   
ID                   hi                  
RPAREN               )                   
END                  end                 
PERIOD               .                   
